areaType,areaName,areaCode,date,newDeaths28DaysByPublishDate,cumDeaths28DaysByPublishDate
overview,United Kingdom,K02000001,2021-01-15,1280,87295
overview,United Kingdom,K02000001,2021-01-14,1248,86015
overview,United Kingdom,K02000001,2021-01-13,1564,84767
overview,United Kingdom,K02000001,2021-01-12,1243,83203
overview,United Kingdom,K02000001,2021-01-11,529,81960
overview,United Kingdom,K02000001,2021-01-10,563,81431
overview,United Kingdom,K02000001,2021-01-09,1035,80868
overview,United Kingdom,K02000001,2021-01-08,1325,79833
overview,United Kingdom,K02000001,2021-01-07,1162,78508
overview,United Kingdom,K02000001,2021-01-06,1041,77346
overview,United Kingdom,K02000001,2021-01-05,830,76305
overview,United Kingdom,K02000001,2021-01-04,407,75475
overview,United Kingdom,K02000001,2021-01-03,455,75068
overview,United Kingdom,K02000001,2021-01-02,445,74613
overview,United Kingdom,K02000001,2021-01-01,656,74168
overview,United Kingdom,K02000001,2020-12-31,964,73512
overview,United Kingdom,K02000001,2020-12-30,981,72548
overview,United Kingdom,K02000001,2020-12-29,414,71567
overview,United Kingdom,K02000001,2020-12-28,357,71153
overview,United Kingdom,K02000001,2020-12-27,317,70796
overview,United Kingdom,K02000001,2020-12-26,230,70479
overview,United Kingdom,K02000001,2020-12-25,613,70249
overview,United Kingdom,K02000001,2020-12-24,585,69636
overview,United Kingdom,K02000001,2020-12-23,744,69051
overview,United Kingdom,K02000001,2020-12-22,691,68307
overview,United Kingdom,K02000001,2020-12-21,215,67616
overview,United Kingdom,K02000001,2020-12-20,326,67401
overview,United Kingdom,K02000001,2020-12-19,534,67075
overview,United Kingdom,K02000001,2020-12-18,489,66541
overview,United Kingdom,K02000001,2020-12-17,532,66052
overview,United Kingdom,K02000001,2020-12-16,613,65520
overview,United Kingdom,K02000001,2020-12-15,506,64908
overview,United Kingdom,K02000001,2020-12-14,232,64402
overview,United Kingdom,K02000001,2020-12-13,144,64170
overview,United Kingdom,K02000001,2020-12-12,519,64026
overview,United Kingdom,K02000001,2020-12-11,424,63506
overview,United Kingdom,K02000001,2020-12-10,516,63082
overview,United Kingdom,K02000001,2020-12-09,533,62566
overview,United Kingdom,K02000001,2020-12-08,616,62033
overview,United Kingdom,K02000001,2020-12-07,189,61434
overview,United Kingdom,K02000001,2020-12-06,231,61245
overview,United Kingdom,K02000001,2020-12-05,397,61014
overview,United Kingdom,K02000001,2020-12-04,504,60617
overview,United Kingdom,K02000001,2020-12-03,414,60113
overview,United Kingdom,K02000001,2020-12-02,648,59699
overview,United Kingdom,K02000001,2020-12-01,603,59051
overview,United Kingdom,K02000001,2020-11-30,205,58448
overview,United Kingdom,K02000001,2020-11-29,215,58245
overview,United Kingdom,K02000001,2020-11-28,479,58030
overview,United Kingdom,K02000001,2020-11-27,521,57551
overview,United Kingdom,K02000001,2020-11-26,498,57031
overview,United Kingdom,K02000001,2020-11-25,696,56533
overview,United Kingdom,K02000001,2020-11-24,608,55838
overview,United Kingdom,K02000001,2020-11-23,206,55230
overview,United Kingdom,K02000001,2020-11-22,398,55024
overview,United Kingdom,K02000001,2020-11-21,341,54626
overview,United Kingdom,K02000001,2020-11-20,511,54286
overview,United Kingdom,K02000001,2020-11-19,501,53775
overview,United Kingdom,K02000001,2020-11-18,529,53274
overview,United Kingdom,K02000001,2020-11-17,598,52745
overview,United Kingdom,K02000001,2020-11-16,213,52147
overview,United Kingdom,K02000001,2020-11-15,168,51934
overview,United Kingdom,K02000001,2020-11-14,462,51766
overview,United Kingdom,K02000001,2020-11-13,376,51304
overview,United Kingdom,K02000001,2020-11-12,563,50928
overview,United Kingdom,K02000001,2020-11-11,595,50365
overview,United Kingdom,K02000001,2020-11-10,532,49770
overview,United Kingdom,K02000001,2020-11-09,194,49238
overview,United Kingdom,K02000001,2020-11-08,156,49044
overview,United Kingdom,K02000001,2020-11-07,413,48888
overview,United Kingdom,K02000001,2020-11-06,355,48475
overview,United Kingdom,K02000001,2020-11-05,378,48120
overview,United Kingdom,K02000001,2020-11-04,492,47742
overview,United Kingdom,K02000001,2020-11-03,397,47250
overview,United Kingdom,K02000001,2020-11-02,136,46853
overview,United Kingdom,K02000001,2020-11-01,162,46717
overview,United Kingdom,K02000001,2020-10-31,326,46555
overview,United Kingdom,K02000001,2020-10-30,274,46229
overview,United Kingdom,K02000001,2020-10-29,280,45955
overview,United Kingdom,K02000001,2020-10-28,310,45675
overview,United Kingdom,K02000001,2020-10-27,367,45365
overview,United Kingdom,K02000001,2020-10-26,102,44998
overview,United Kingdom,K02000001,2020-10-25,151,44896
overview,United Kingdom,K02000001,2020-10-24,174,44745
overview,United Kingdom,K02000001,2020-10-23,224,44571
overview,United Kingdom,K02000001,2020-10-22,189,44347
overview,United Kingdom,K02000001,2020-10-21,191,44158
overview,United Kingdom,K02000001,2020-10-20,241,43967
overview,United Kingdom,K02000001,2020-10-19,80,43726
overview,United Kingdom,K02000001,2020-10-18,67,43646
overview,United Kingdom,K02000001,2020-10-17,150,43579
overview,United Kingdom,K02000001,2020-10-16,136,43429
overview,United Kingdom,K02000001,2020-10-15,138,43293
overview,United Kingdom,K02000001,2020-10-14,137,43155
overview,United Kingdom,K02000001,2020-10-13,143,43018
overview,United Kingdom,K02000001,2020-10-12,50,42875
overview,United Kingdom,K02000001,2020-10-11,65,42825
overview,United Kingdom,K02000001,2020-10-10,81,42760
overview,United Kingdom,K02000001,2020-10-09,87,42679
overview,United Kingdom,K02000001,2020-10-08,77,42592
overview,United Kingdom,K02000001,2020-10-07,70,42515
overview,United Kingdom,K02000001,2020-10-06,76,42445
overview,United Kingdom,K02000001,2020-10-05,19,42369
overview,United Kingdom,K02000001,2020-10-04,33,42350
overview,United Kingdom,K02000001,2020-10-03,49,42317
overview,United Kingdom,K02000001,2020-10-02,66,42268
overview,United Kingdom,K02000001,2020-10-01,59,42202
overview,United Kingdom,K02000001,2020-09-30,71,42143
overview,United Kingdom,K02000001,2020-09-29,71,42072
overview,United Kingdom,K02000001,2020-09-28,13,42001
overview,United Kingdom,K02000001,2020-09-27,17,41988
overview,United Kingdom,K02000001,2020-09-26,34,41971
overview,United Kingdom,K02000001,2020-09-25,35,41937
overview,United Kingdom,K02000001,2020-09-24,40,41902
overview,United Kingdom,K02000001,2020-09-23,37,41862
overview,United Kingdom,K02000001,2020-09-22,37,41825
overview,United Kingdom,K02000001,2020-09-21,11,41788
overview,United Kingdom,K02000001,2020-09-20,18,41777
overview,United Kingdom,K02000001,2020-09-19,27,41759
overview,United Kingdom,K02000001,2020-09-18,27,41732
overview,United Kingdom,K02000001,2020-09-17,21,41705
overview,United Kingdom,K02000001,2020-09-16,20,41684
overview,United Kingdom,K02000001,2020-09-15,27,41664
overview,United Kingdom,K02000001,2020-09-14,9,41637
overview,United Kingdom,K02000001,2020-09-13,5,41628
overview,United Kingdom,K02000001,2020-09-12,9,41623
overview,United Kingdom,K02000001,2020-09-11,6,41614
